item,question,anser
＜アプリについて＞,Q：快眠zzzとは？,"A：本アプリは、快適な眠りと目覚めのための睡眠サポートアプリです。
「クラシック音楽」「ヒーリング音楽」「癒しボイス」などの各種コンテンツと「快適お目覚めタイマー」による目覚まし機能によって、より健やかな睡眠をめざす生活習慣向上を目的としています。"
＜アプリについて＞,Q：サウンド＆ボイスに何か効果はありますか？,A：ヒーリングでは、快適感や癒しに効果の高いとされる「1/ｆゆらぎ」の音を使用し、心地よい睡眠導入をサポートします。また、クラシックの優雅な調べや優しいボイスが心を癒してくれます。
＜アプリについて＞,Q：サウンド＆ボイスにはどんな種類がありますか？,"A：「クラシック音楽」「ヒーリング音楽」「癒しのボイス」の3つのカテゴリから音を選ぶことができます。
クラシック音楽／10曲の中からあなたが最も安らげる曲を見つけてください。それは、仕事で緊張した日、疲れた日、楽しい事やイベントがあって興奮した日、失敗などで落ち込んでいる日、などのその日あった出来事やあなたの気分・体調によっても変化することでしょう。
ヒーリング音楽／リラックスの元になる「1/fゆらぎ」がたっぷりつまったBGM集。睡眠効果を分析して作成されたシンセサイザーと自然音のコラボレーションによるアンビエント（環境音楽）系のサウンドです。頭を空っぽにして聴くだけで効果が倍増します。
癒しのボイス／「ヒツジを数える癒しのボイス」その他趣向を凝らしたおもしろボイスの中からあなたのお気に入りを見つけてください。
"
＜アプリについて＞,"Q：アラーム音はどんな感じですか？","A：通常のアラーム音に加えて、やさしくあなたを起こしてくれる「おはようボイス」があります。
"
＜アプリについて＞,Q：快適お目覚めタイマーとはなんですか？,"A：眠りの浅い状態で発生しやすい寝返りの振動を、iPhoneの加速度センサーを利用して検知。アラームを作動させる機能です。振動の検知はアラーム設定時間の30分前より行います。
※アラーム設定時間が60分未満の場合には、設定がONの状態でも快適お目覚めタイマーは作動いたしません。
"
＜各機能について＞,"Q：サウンド＆ボイスの音が出ない。",A：ホーム（サウンド＆ボイスメニュー）のON/OFスイッチをONにしないとアプリをスタートさせても音は再生されません。スイッチON状態でも音がならない場合は、音量設定がゼロになっていないかご確認ください。
＜各機能について＞,Q：アラームを設定しても音が鳴らない。,A：アラームメニューのON/OFスイッチをONにしないとアプリをスタートさせてもアラームは起動しません。スイッチON状態でも音がならない場合は、音量設定がゼロになっていないかご確認ください。
＜各機能について＞,Q：スヌーズ機能の間隔は何分ですか？,A：時間間隔は3分となっております。※この時間設定を変更することはできません。
＜各機能について＞,Q：アラームをバイブレーションにしたい。,"A：アラーム設定画面に「バイブレーション」のON/OFF設定がありますので、そちらをONするとアラーム起動時に振動するようになります。
"
＜各機能について＞,Q：快適お目覚めタイマーが機能しない。,"A：快適お目覚めタイマーのON/OFスイッチをONにしないとアプリをスタートさせても機能しません。快適お目覚めタイマーは、寝返りで起こる振動を感知してアラームを起動させる機能です。振動を感知できない場合にはアラームが起動することはありません。また、アラームの設定時間が60分未満の場合には、設定がONの状態でも快適お目覚めタイマーは作動いたしません。
"
＜各機能について＞,Q：使用中に止まってしまたり、音がならなくなってしまう。,"A：ご使用のiPhoneがアプリの複数起動などによる負荷状態により、正常に機能しないことが考えられます。バックグラウンドで起動しているアプリで使用していないものを停止し、本アプリの再起動を行ってください。
それでも問題が解消されない場合は、アプリを一旦削除して再インストールを行ってください。※一度購入したアプリはApp Storeから無料で再ダウンロードすることができます。
"
