ジャンル,id,ファイル名,曲名
クラシック,1,classic01.m4a,夜想曲第２番
クラシック,2,classic02.m4a,トロイメライ
クラシック,3,classic03.m4a,春の歌
クラシック,4,classic04.m4a,雨だれ前奏曲
クラシック,5,classic05.m4a,別れの曲
クラシック,6,classic06.m4a,花の歌
クラシック,7,classic07.m4a,主よ、人の望みの喜びよ
クラシック,8,classic08.m4a,タイスの瞑想曲
クラシック,9,classic09.m4a,シューベルトの子守歌
サウンド,1,sound01.aac,虫のコーラス
サウンド,2,sound02.aac,蛙のコーラス
サウンド,3,sound03.aac,蛙のコーラス(ケロケロ)
サウンド,4,sound04.aac,ひよ鳥
サウンド,5,sound05.aac,カモメ
サウンド,6,sound06.aac,イルカ
サウンド,7,sound07.aac,小川
サウンド,8,sound08.aac,大河
サウンド,9,sound09.aac,滝の音
サウンド,10,sound10.aac,海沿いの風景
サウンド,11,sound11.aac,波の音
サウンド,12,sound12.aac,しとしと雨
サウンド,13,sound13.aac,ザーザー雨
サウンド,14,sound14.aac,森の風景
サウンド,15,sound15.aac,風の音
サウンド,16,sound16.aac,雫の音
サウンド,17,sound17.aac,ししおどし
サウンド,18,sound18.aac,心臓の音
サウンド,19,sound19.aac,癒し楽器 《モーコック（蛙）》
サウンド,20,sound20.aac,癒し楽器 《レインスティック》
サウンド,21,sound21.aac,天使のライアー(堅琴)
サウンド,22,sound22.aac,星空のオルゴール
サウンド,23,sound23.aac,ムーンヒーリング  〜クールダウンのBGM
サウンド,24,sound24.aac,太古の記憶  〜森の自然音入り
サウンド,25,sound25.aac,水辺の妖精たち  〜水の自然音入り
サウンド,26,sound26.aac,ケロケロ・ドリーム  〜蛙のコーラス入り
サウンド,27,sound27.aac,オータム・ナイト  〜虫のコーラス入り
サウンド,28,sound28.aac,羊＆蛙を数える用BGM
癒しのボイス,1,voice01.aac,おやすみボイス（羊が一匹）
癒しのボイス,2,voice02.aac,おやすみボイス（蛙が一匹）
アラーム,1,alarm01.aac,アラーム音1
アラーム,2,alarm02.aac,アラーム音2
アラーム,3,alarm03.aac,アラーム音3
アラーム,4,alarm04.aac,アラーム音4
アラーム,5,alarm05.aac,ペール・ギュントの朝
アラーム,6,alarm06.aac,天使のセレナーデ
アラーム,7,alarm07.aac,目覚めよと呼ぶ声す
アラーム,8,alarm08.aac,グリーンシャワー〜さわやかなBGM
アラーム,9,alarm09.aac,マリンブルー〜波の音入りBGM
アラーム,10,alarm10.aac,おはようボイス１　元気なお姉さん
アラーム,11,alarm11.aac,おはようボイス２　優しいお姉さん
アラーム,12,alarm12.aac,おはようボイス３  ちょっと怖いお姉さん
アラーム,13,alarm13.aac,おはようボイス４  むちゃくちゃ怖いお母さん
